property_type,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_score,price
flat,90,7053.0,3,3,2,19.0,Relatively New,1578.0,0,0,0,6,1.23
flat,65,18493.0,2,2,3,4.0,New Property,1433.0,0,0,0,38,2.65
house,9,18333.0,2,3,0,3.0,Old Property,900.0,0,0,0,0,1.65
flat,43,15510.0,3,3,3+,1.0,Moderately Old,2450.0,1,0,1,68,3.8
flat,65,14430.0,4,4,3+,0.0,Relatively New,1975.0,1,0,1,151,2.85
flat,63,19747.0,4,4,0,6.0,New Property,3950.0,0,0,0,61,7.8
flat,2,7825.0,3,4,3+,10.0,Moderately Old,1738.0,1,0,0,93,1.5
house,76,6250.0,4,4,0,14.0,New Property,3111.0,0,0,0,0,1.75
flat,61,14000.0,3,3,3,1.0,Under Construction,1721.0,0,0,0,0,2.17
flat,102,8182.0,3,3,3,9.0,Relatively New,1315.0,1,0,0,100,1.35
flat,106,8537.0,3,4,3+,10.0,Relatively New,1345.0,1,0,0,174,1.05
flat,14,13108.0,4,4,0,9.0,Old Property,3250.0,0,0,0,0,4.26
flat,95,6193.0,2,2,2,12.0,New Property,670.0,0,0,1,90,0.41
house,57,10580.0,6,6,2,3.0,Moderately Old,3450.0,1,1,2,152,3.65
flat,109,6383.0,3,2,2,8.0,Relatively New,1701.0,0,0,0,151,1.2
flat,107,6422.0,2,2,3,7.0,Relatively New,1281.0,0,0,1,174,0.98
house,56,23148.0,8,8,3+,3.0,Relatively New,3240.0,1,0,2,42,7.5
flat,70,7765.0,3,4,3+,27.0,New Property,1923.0,1,0,0,81,1.65
house,48,21219.0,3,6,2,2.0,Moderately Old,2592.0,1,0,1,106,5.5
flat,69,8973.0,3,3,1,12.0,Relatively New,1392.0,0,0,0,157,1.38
house,69,10485.0,1,1,0,1.0,New Property,763.0,0,0,0,0,0.8
flat,89,8160.0,2,2,2,3.0,New Property,998.0,0,0,0,95,0.9
flat,52,7872.0,3,3,3,7.0,Moderately Old,2127.0,1,0,0,28,1.85
flat,78,6053.0,2,2,1,5.0,Moderately Old,1239.0,0,0,0,0,0.75
flat,99,6510.0,3,3,0,16.0,New Property,1997.0,0,0,0,0,1.3
flat,36,7248.0,2,1,3,1.0,New Property,828.0,0,0,0,65,0.54
flat,37,9167.0,2,2,3,3.0,New Property,610.0,0,0,0,71,0.55
flat,65,13957.0,2,2,2,32.0,Relatively New,1433.0,0,0,0,48,2.0
flat,99,6610.0,3,5,3,11.0,New Property,1737.0,1,0,0,88,1.32
flat,112,11585.0,4,5,3+,5.0,Relatively New,3655.0,1,0,1,168,5.49
flat,89,9009.0,2,2,3,3.0,New Property,1233.0,0,0,0,99,1.0
flat,79,6536.0,2,2,3,4.0,Relatively New,1700.0,0,0,0,24,1.0
flat,89,8160.0,2,2,2,2.0,New Property,998.0,0,0,0,44,0.9
house,57,26063.0,2,8,3+,4.0,Relatively New,1458.0,0,1,1,94,3.8
flat,92,4587.0,3,3,2,3.0,Relatively New,1574.0,0,0,0,6,0.65
flat,37,8848.0,3,3,3,1.0,Under Construction,1535.0,0,0,0,37,1.36
house,109,25111.0,7,5,3+,4.0,Relatively New,4500.0,1,0,0,49,11.3
flat,37,7251.0,3,3,3+,2.0,Under Construction,1725.0,0,0,0,8,1.25
flat,110,3167.0,2,1,1,2.0,Relatively New,1000.0,0,0,0,15,0.28
flat,102,17687.0,2,2,3,0.0,Relatively New,1009.0,0,1,0,125,1.3
house,28,17931.0,10,10,3+,1.0,Relatively New,8056.0,0,0,0,0,13.0
flat,53,16580.0,3,4,3+,8.0,Relatively New,2500.0,1,0,1,174,4.8
flat,104,5015.0,4,5,3+,0.0,Relatively New,2991.0,1,1,0,88,1.35
flat,53,28004.0,3,4,3,8.0,Under Construction,2661.0,1,0,2,35,8.25
house,5,8500.0,1,1,0,1.0,Relatively New,1000.0,0,0,0,0,0.85
flat,92,4511.0,3,3,3,1.0,Moderately Old,1304.0,0,0,0,91,0.65
flat,69,6818.0,2,2,2,4.0,Moderately Old,1100.0,0,0,0,0,0.75
house,7,9103.0,1,1,1,2.0,Old Property,758.0,0,0,0,0,0.69
house,40,21124.0,9,9,3+,3.0,Moderately Old,2367.0,1,1,1,83,5.0
flat,78,4746.0,3,4,3,8.0,Moderately Old,1668.0,1,0,0,111,0.88
flat,66,12353.0,3,4,2,12.0,Relatively New,1800.0,1,0,1,156,2.1
flat,65,16411.0,3,3,3,17.0,Under Construction,1828.0,0,0,0,99,3.0
flat,90,7222.0,4,4,3+,15.0,Moderately Old,2005.0,1,0,0,38,1.7
flat,83,9474.0,3,3,3,6.0,Relatively New,1549.0,1,0,1,97,1.8
flat,61,14800.0,2,2,2,3.0,New Property,1389.0,0,0,0,44,1.85
flat,53,19174.0,4,5,3+,10.0,Relatively New,3000.0,1,0,1,174,6.5
house,26,12838.0,4,4,3+,4.0,Old Property,4518.0,0,0,0,38,5.8
flat,33,7971.0,2,2,2,14.0,Under Construction,1533.0,0,0,0,56,1.1
house,5,5000.0,6,1,0,1.0,New Property,3000.0,0,0,0,0,1.5
flat,92,5279.0,3,2,2,4.0,Relatively New,1325.0,0,0,0,56,0.7
flat,102,17730.0,3,3,3+,1.0,Relatively New,1456.0,0,1,0,139,2.0
house,36,7589.0,3,2,2,1.0,Under Construction,1120.0,0,0,0,15,0.85
house,12,14493.0,9,9,3+,3.0,Old Property,4140.0,0,0,0,9,6.0
house,14,20635.0,4,4,3+,2.0,Moderately Old,3150.0,0,0,0,0,6.5
flat,92,5207.0,4,4,3,8.0,Relatively New,2518.0,1,0,0,108,1.18
flat,106,7419.0,3,3,3,11.0,Relatively New,1650.0,1,0,1,174,1.15
flat,9,6667.0,4,3,2,4.0,Moderately Old,2000.0,0,0,1,23,1.2
flat,4,5983.0,2,2,2,3.0,Relatively New,520.0,0,0,0,42,0.28
house,23,18621.0,5,5,2,3.0,Old Property,1450.0,0,0,1,17,2.7
flat,74,13380.0,3,3,3,13.0,New Property,2018.0,0,1,0,92,2.7
flat,92,4453.0,3,3,0,7.0,Relatively New,1572.0,0,0,0,0,0.7
house,6,4630.0,6,4,0,3.0,Moderately Old,240.0,0,0,0,0,1.0
house,53,17778.0,5,5,2,3.0,Relatively New,2250.0,0,0,0,23,4.0
